"Time","request","limit","usage"
1724514420000,0.15,0.25,0.10673373536850184
1724514450000,0.15,0.25,0.23185025849614507
1724514480000,0.15,0.25,0.24997717872247105
1724514510000,0.15,0.25,0.25000786560070004
1724514540000,0.15,0.25,0.250106199744855
1724514570000,0.15,0.25,0.2504648205218326
1724514600000,0.15,0.25,0.2503162105372382
1724514630000,0.15,0.25,0.24985922538279068
1724514660000,0.15,0.25,0.2498519686654088
1724514690000,0.15,0.25,0.24956886034892495
1724514720000,0.15,0.25,0.25004786251505806
1724514750000,0.15,0.25,0.2498139033753469
1724514780000,0.15,0.25,0.24955674783742163
1724514810000,0.15,0.25,0.16499726587499985
1724514840000,0.15,0.25,0.25004022856402897
1724514870000,0.15,0.25,0.2505811128636593
1724514900000,0.15,0.25,0.21354464983892033
1724514930000,0.15,0.25,0.2500923099874109
1724514960000,0.15,0.25,0.24983429853181094
1724514990000,0.15,0.25,0.2498794392972233
1724515020000,0.15,0.25,0.25015654873416227
1724515050000,0.15,0.25,0.2498696274679386
1724515080000,0.15,0.25,0.24990621819329545
1724515110000,0.15,0.25,0.23387375960556903
1724515140000,0.15,0.25,0.06657624900309042
1724515170000,0.15,0.25,9.285963590467703e-7
1724515200000,0.15,0.25,0.0000012953235105042676
1724515230000,0.15,0.25,0
1724515260000,0.15,0.25,0.0000012303180605547502
1724515290000,0.15,0.25,0.0000015080527087411983
1724515320000,0.15,0.25,0
1724515350000,0.15,0.25,0.0000011177889698055675
1724515380000,0.15,0.25,0.0000011290436022067202
1724515410000,0.15,0.25,0
1724515440000,0.15,0.25,0.0000013385777778568
1724515470000,0.15,0.25,0
1724515500000,0.15,0.25,0.000002178567059673825
1724515530000,0.15,0.25,0.000002133940077334229
1724515560000,0.15,0.25,0.0000028046594187810707
1724515590000,0.15,0.25,0.000002261159892469522
1724515620000,0.15,0.25,0.0000016470385475145188
1724515650000,0.15,0.25,0
1724515680000,0.15,0.25,0.0443974888302828
1724515710000,0.15,0.25,0.2237993001661715
1724515740000,0.15,0.25,0.25035982494474723
1724515770000,0.15,0.25,0.24987365090729005
1724515800000,0.15,0.25,0.2496555911548245
1724515830000,0.15,0.25,0.17898442296151995
1724515860000,0.15,0.25,0.03262968331280409
1724515890000,0.15,0.25,0.0004252994623097625
1724515920000,0.15,0.25,0.00041592430861906755
1724515950000,0.15,0.25,0.0005949965775621694
1724515980000,0.15,0.25,0.0005346835673899019
1724516010000,0.15,0.25,0.0004476977773719275
1724516040000,0.15,0.25,0.0004353778785049441
1724516070000,0.15,0.25,0.0005362557975259223
1724516100000,0.15,0.25,0.0005614456995640057
