"Time","request","limit","usage"
1724514000000,0.25,1,0.0011257565981965744
1724514030000,0.25,1,0.0019778239658074215
1724514060000,0.25,1,0.00212528738840475
1724514090000,0.25,1,0.0021664858619713004
1724514120000,0.25,1,0.001765892909467858
1724514150000,0.25,1,0.0018268740871969934
1724514180000,0.25,1,0.0019080065540310626
1724514210000,0.25,1,0.0020775223677985915
1724514240000,0.25,1,0.0020590094894439867
1724514270000,0.25,1,0.0015802620097447098
1724514300000,0.25,1,0.0019948472465236324
1724514330000,0.25,1,0.0019394725103130115
1724514360000,0.25,1,0.001995158307855756
1724514390000,0.25,1,0.0018040231612688985
1724514420000,0.25,1,0.0018868816100019185
1724514450000,0.25,1,0.002158321526885677
1724514480000,0.25,1,0.0019820020864122377
1724514510000,0.25,1,0.0016993040362681953
1724514540000,0.25,1,0.001841188641261887
1724514570000,0.25,1,0.0019160336179670121
1724514600000,0.25,1,0.002030460069044896
1724514630000,0.25,1,0.0020041170193276668
1724514660000,0.25,1,0.0017799803341527417
1724514690000,0.25,1,0.0019250434602322208
1724514720000,0.25,1,0.0018611145216506251
1724514750000,0.25,1,0.0017487366813022328
1724514780000,0.25,1,0.0017267540116381727
1724514810000,0.25,1,0.001836961478637036
1724514840000,0.25,1,0.001918242951942191
1724514870000,0.25,1,0.0018521880349964552
1724514900000,0.25,1,0.0017704879415549283
1724514930000,0.25,1,0.001744626567419023
1724514960000,0.25,1,0.0020235995439343247
1724514990000,0.25,1,0.0017765684117905863
1724515020000,0.25,1,0.0017600088152004967
1724515050000,0.25,1,0.0019272190166684125
1724515080000,0.25,1,0.001958703421238681
1724515110000,0.25,1,0.0018065420229037617
1724515140000,0.25,1,0.0018891362182425612
1724515170000,0.25,1,0.0012037150999999913
1724515200000,0.25,1,0.001997258654784189
1724515230000,0.25,1,0.0018151317025981186
1724515260000,0.25,1,0.0018584365730633262
1724515290000,0.25,1,0.0018441199652200692
1724515320000,0.25,1,0.0019732715659537808
1724515350000,0.25,1,0.0018825270891319997
1724515380000,0.25,1,0.0019013912395563564
1724515410000,0.25,1,0.0019782970795004105
1724515440000,0.25,1,0.0020338497145822496
1724515470000,0.25,1,0.0018101489063317674
1724515500000,0.25,1,0.0018883478150950085
1724515530000,0.25,1,0.0019463043496612748
1724515560000,0.25,1,0.0014418714583193273
1724515590000,0.25,1,0.0012281947999999822
1724515620000,0.25,1,0.001885795531055372
1724515650000,0.25,1,0.002113016468225997
1724515680000,0.25,1,0.0021345523203424054
1724515710000,0.25,1,0.0014840402116215047
1724515740000,0.25,1,0.001505708593432036
1724515770000,0.25,1,0.0018617138825572483
1724515800000,0.25,1,0.0019741452690662754
1724515830000,0.25,1,0.00194755776990123
1724515860000,0.25,1,0.0015443394254120617
1724515890000,0.25,1,0.0016678240222202136
1724515920000,0.25,1,0.0017244213846989572
1724515950000,0.25,1,0.0016611928469823121
1724515980000,0.25,1,0.00172646042498286
1724516010000,0.25,1,0.0017955112289734262
1724516040000,0.25,1,0.0018644726410934399
1724516070000,0.25,1,0.0017050491363562546
1724516100000,0.25,1,0.0016635743196517993
1724516130000,0.25,1,0.0017257420281528621
1724516160000,0.25,1,0.0017715472288505737
1724516190000,0.25,1,0.001708991831678708
1724516220000,0.25,1,0.0017715179700947743
1724516250000,0.25,1,0.0018454516826258709
1724516280000,0.25,1,0.0018187104847585912
1724516310000,0.25,1,0.0016767624631321705
1724516340000,0.25,1,0.001773324482428682
1724516370000,0.25,1,0.0018320237249352474
1724516400000,0.25,1,0.001798493025970242
1724516430000,0.25,1,0.0017012376200064246
1724516460000,0.25,1,0.001800100499168058
1724516490000,0.25,1,0.002010771243066071
1724516520000,0.25,1,0.001991279007446722
1724516550000,0.25,1,0.0018356308999315557
1724516580000,0.25,1,0.001838188312584044
1724516610000,0.25,1,0.0020093950884405277
1724516640000,0.25,1,0.0018348255368543435
1724516670000,0.25,1,0.0019107529750905412
1724516700000,0.25,1,0.0019250721055701118
1724516730000,0.25,1,0.002007796075519717
1724516760000,0.25,1,0.0020154037270445463
1724516790000,0.25,1,0.0018285228398971553
1724516820000,0.25,1,0.0018707450630123749
1724516850000,0.25,1,0.00198261021487079
1724516880000,0.25,1,0.001985551866761026
1724516910000,0.25,1,0.001831136767925575
1724516940000,0.25,1,0.001862312949021292
1724516970000,0.25,1,0.001962259554677979
1724517000000,0.25,1,0.0019164593918651824
1724517030000,0.25,1,0.0018836025704595523
1724517060000,0.25,1,0.001877075145670087
1724517090000,0.25,1,0.001965093199162563
1724517120000,0.25,1,0.0020317232993158356
1724517150000,0.25,1,0.0018241207530886447
1724517180000,0.25,1,0.0018623469728800606
1724517210000,0.25,1,0.0018440521144060592
1724517240000,0.25,1,0.001961463219821228
1724517270000,0.25,1,0.0017974443813331944
1724517300000,0.25,1,0.001897603277860853
1724517330000,0.25,1,0.001969506948628755
1724517360000,0.25,1,0.0019635311114289703
1724517390000,0.25,1,0.001822619190655
1724517420000,0.25,1,0.0017502384602282434
1724517450000,0.25,1,0.0015412042472983506
1724517480000,0.25,1,0.002002747267464487
1724517510000,0.25,1,0.0019379826291167294
1724517540000,0.25,1,0.001869103125977451
1724517570000,0.25,1,0.0020624234039884736
1724517600000,0.25,1,0.0019334765869309107
1724517630000,0.25,1,0.0018433843115499865
1724517660000,0.25,1,0.0018581575365847775
1724517690000,0.25,1,0.0016646953426837797
1724517720000,0.25,1,0.0019160028491125235
1724517750000,0.25,1,0.0014176873839529837
1724517780000,0.25,1,0.0017871467072824484
1724517810000,0.25,1,0.0014509697073557175
1724517840000,0.25,1,0.0018988523534333437
1724517870000,0.25,1,0.0018387890542858629
1724517900000,0.25,1,0.0017973864884497789
1724517930000,0.25,1,0.0019535343720894936
1724517960000,0.25,1,0.0019510277045663512
1724517990000,0.25,1,0.0018502156656956708
1724518020000,0.25,1,0.001822880333632033
1724518050000,0.25,1,0.001868221175866289
1724518080000,0.25,1,0.0019084311590734913
1724518110000,0.25,1,0.0017796859382655265
1724518140000,0.25,1,0.0014855320955753663
1724518170000,0.25,1,0.0018743314539392353
1724518200000,0.25,1,0.0018558327962344486
1724518230000,0.25,1,0.0018794390721008948
1724518260000,0.25,1,0.00185289334983628
1724518290000,0.25,1,0.0018576627541058693
1724518320000,0.25,1,0.001878184096409871
1724518350000,0.25,1,0.0018442995031222635
1724518380000,0.25,1,0.0018638674436772971
1724518410000,0.25,1,0.001996997879913635
1724518440000,0.25,1,0.0020166582359679394
1724518470000,0.25,1,0.0019129130809953585
1724518500000,0.25,1,0.00162704089278209
1724518530000,0.25,1,0.0018611091674765113
1724518560000,0.25,1,0.001999862637595265
1724518590000,0.25,1,0.0018172660015413017
1724518620000,0.25,1,0.001908155941674674
1724518650000,0.25,1,0.0020286398315153024
1724518680000,0.25,1,0.0019553973020716357
1724518710000,0.25,1,0.0018696185043230171
1724518740000,0.25,1,0.00182726993663972
1724518770000,0.25,1,0.0018430552109999375
1724518800000,0.25,1,0.002006299981736292
1724518830000,0.25,1,0.0018551523287350378
1724518860000,0.25,1,0.0018171994201568761
1724518890000,0.25,1,0.001897750696833959
1724518920000,0.25,1,0.0019171865062104269
1724518950000,0.25,1,0.001808977941543867
1724518980000,0.25,1,0.0017914302742149718
1724519010000,0.25,1,0.001950673773596448
1724519040000,0.25,1,0.0018780542637568602
1724519070000,0.25,1,0.0017028598283709607
1724519100000,0.25,1,0.0017251606699031433
1724519130000,0.25,1,0.001899547522267365
1724519160000,0.25,1,0.0019901062925335765
1724519190000,0.25,1,0.00185363775901762
1724519220000,0.25,1,0.0018164248315020808
1724519250000,0.25,1,0.0017968485498541286
1724519280000,0.25,1,0.00203320825015237
1724519310000,0.25,1,0.0018060341265018149
1724519340000,0.25,1,0.001776543059936893
1724519370000,0.25,1,0.0018041419906856143
1724519400000,0.25,1,0.0018607718438063434
1724519430000,0.25,1,0.001738040059687789
1724519460000,0.25,1,0.001775641757228218
1724519490000,0.25,1,0.0018995456737781764
1724519520000,0.25,1,0.0019902518395730506
1724519550000,0.25,1,0.0015198633111992983
1724519580000,0.25,1,0.0018912317212531448
1724519610000,0.25,1,0.0020785628251384137
1724519640000,0.25,1,0.001991618768712989
1724519670000,0.25,1,0.0017941725211311596
1724519700000,0.25,1,0.0018662289250170494
1724519730000,0.25,1,0.0017521516963772284
1724519760000,0.25,1,0.0019038785506442916
1724519790000,0.25,1,0.0018344313810997924
1724519820000,0.25,1,0.0018967330282587142
1724519850000,0.25,1,0.001944511931101758
1724519880000,0.25,1,0.0017061527159200124
1724519910000,0.25,1,0.001295498959893474
1724519940000,0.25,1,0.0013113162731061057
1724519970000,0.25,1,0.001431037709976017
1724520000000,0.25,1,0.0014318555151097451
1724520030000,0.25,1,0.0013863662445495833
1724520060000,0.25,1,0.0015314353828540556
1724520090000,0.25,1,0.0015425720923626293
1724520120000,0.25,1,0.0015657380554202878
1724520150000,0.25,1,0.0014235414845897758
1724520180000,0.25,1,0.0015475995339930945
1724520210000,0.25,1,0.0015684788908021956
1724520240000,0.25,1,0.0016116995318351936
1724520270000,0.25,1,0.0012073915777686735
1724520300000,0.25,1,0.0015315721287923443
1724520330000,0.25,1,0.0015004023642913313
1724520360000,0.25,1,0.0015384868117274792
1724520390000,0.25,1,0.0013851063648878427
1724520420000,0.25,1,0.0014059400588282062
1724520450000,0.25,1,0.001539192030288673
1724520480000,0.25,1,0.0015805875944778537
1724520510000,0.25,1,0.0015937165179142163
1724520540000,0.25,1,0.0016673376478516515
1724520570000,0.25,1,0.0017283844927003062
1724520600000,0.25,1,0.001780929728046496
1724520630000,0.25,1,0.0016161587717977847
1724520660000,0.25,1,0.0014798912825116275
1724520690000,0.25,1,0.0016053612932195875
1724520720000,0.25,1,0.0016419800854738176
1724520750000,0.25,1,0.0015380091861673688
1724520780000,0.25,1,0.0014611803726261557
1724520810000,0.25,1,0.0015829443150794523
1724520840000,0.25,1,0.0015284358520936611
1724520870000,0.25,1,0.001498912920748631
1724520900000,0.25,1,0.0014586528289460333
1724520930000,0.25,1,0.0015518900466136893
1724520960000,0.25,1,0.0017169359619583467
1724520990000,0.25,1,0.001566734276553273
1724521020000,0.25,1,0.0014093483413467704
1724521050000,0.25,1,0.0015886948342121573
1724521080000,0.25,1,0.0017013399912958107
1724521110000,0.25,1,0.0013420616770223066
1724521140000,0.25,1,0.0015823544441479543
1724521170000,0.25,1,0.0017173551808214874
1724521200000,0.25,1,0.001725477200928724
1724521230000,0.25,1,0.0016798058541982156
1724521260000,0.25,1,0.0016558574070351527
1724521290000,0.25,1,0.0016682937895127973
1724521320000,0.25,1,0.0016103860654667508
1724521350000,0.25,1,0.0016197340178307224
1724521380000,0.25,1,0.001599818945578943
1724521410000,0.25,1,0.0016912628847092924
1724521440000,0.25,1,0.0016844649416875102
1724521470000,0.25,1,0.0015974754802706229
1724521500000,0.25,1,0.0016441781133229904
1724521530000,0.25,1,0.0016217229527938533
1724521560000,0.25,1,0.0016996615069378004
1724521590000,0.25,1,0.0016604899058605624
1724521620000,0.25,1,0.0016353508071430217
1724521650000,0.25,1,0.001665939242568172
1724521680000,0.25,1,0.001732183448422376
1724521710000,0.25,1,0.0016403820549928032
1724521740000,0.25,1,0.0016014050227660716
1724521770000,0.25,1,0.0016864915962727632
1724521800000,0.25,1,0.0016787184101626882
1724521830000,0.25,1,0.0016037513943534098
1724521860000,0.25,1,0.0017012737869577766
1724521890000,0.25,1,0.0016442523483041326
1724521920000,0.25,1,0.0018379505287439942
1724521950000,0.25,1,0.001626375431387022
1724521980000,0.25,1,0.0016128857125329624
1724522010000,0.25,1,0.0016296276289638589
1724522040000,0.25,1,0.0017249960175635595
1724522070000,0.25,1,0.0015948769478083369
1724522100000,0.25,1,0.0016274032249936818
1724522130000,0.25,1,0.001698530418250942
1724522160000,0.25,1,0.001702426321167544
1724522190000,0.25,1,0.0016051012776790903
1724522220000,0.25,1,0.0016307064899672393
1724522250000,0.25,1,0.0017989980405538997
1724522280000,0.25,1,0.0017779615866695432
1724522310000,0.25,1,0.0016466225667132403
1724522340000,0.25,1,0.0016434194450988908
1724522370000,0.25,1,0.0015941624410378149
1724522400000,0.25,1,0.001735301697356263
1724522430000,0.25,1,0.0016142653015023514
1724522460000,0.25,1,0.0016255521087040522
1724522490000,0.25,1,0.001747032387264705
1724522520000,0.25,1,0.001755656246771766
1724522550000,0.25,1,0.0013477334224615473
1724522580000,0.25,1,0.0016232626832691725
1724522610000,0.25,1,0.0016249722421165156
1724522640000,0.25,1,0.0017409660870299824
1724522670000,0.25,1,0.0015898433726031034
1724522700000,0.25,1,0.0016093902452692598
1724522730000,0.25,1,0.001578697601688777
1724522760000,0.25,1,0.0016919134116833495
1724522790000,0.25,1,0.0015995576066069753
1724522820000,0.25,1,0.0016785835463319974
1724522850000,0.25,1,0.001707500078861264
1724522880000,0.25,1,0.0017164683659535774
1724522910000,0.25,1,0.0015808785995722037
1724522940000,0.25,1,0.001572121504593112
1724522970000,0.25,1,0.001683599665841786
1724523000000,0.25,1,0.001665088332478685
1724523030000,0.25,1,0.0016171084183991887
1724523060000,0.25,1,0.0016335256303797237
1724523090000,0.25,1,0.001342133702468313
1724523120000,0.25,1,0.001742748599363976
1724523150000,0.25,1,0.0016670611375849175
1724523180000,0.25,1,0.0016708177965331465
1724523210000,0.25,1,0.0017503563556512537
1724523240000,0.25,1,0.0014510154216563376
1724523270000,0.25,1,0.0015519804293513489
1724523300000,0.25,1,0.0015640509243450991
1724523330000,0.25,1,0.0017580349931404949
1724523360000,0.25,1,0.0017026606360197648
1724523390000,0.25,1,0.0016813399242049545
1724523420000,0.25,1,0.0015929673718967285
1724523450000,0.25,1,0.0015712876649609322
1724523480000,0.25,1,0.0018003217158177038
1724523510000,0.25,1,0.0016145562011700126
1724523540000,0.25,1,0.0015891027580539649
1724523570000,0.25,1,0.0016053104583868556
1724523600000,0.25,1,0.0015574491588589937
1724523630000,0.25,1,0.0015762642014270109
1724523660000,0.25,1,0.0016107643490958033
