"Time","request","limit","usage"
1724514420000,157286400,419430400,186966016
1724514450000,157286400,419430400,311062528
1724514480000,157286400,419430400,419373056
1724514510000,157286400,419430400,314490880
1724514540000,157286400,419430400,342937600
1724514570000,157286400,419430400,403410944
1724514600000,157286400,419430400,419049472
1724514630000,157286400,419430400,419192832
1724514660000,157286400,419430400,419430400
1724514690000,157286400,419430400,419356672
1724514720000,157286400,419430400,419119104
1724514750000,157286400,419430400,419373056
1724514780000,157286400,419430400,419364864
1724514810000,157286400,419430400,419385344
1724514840000,157286400,419430400,230285312
1724514870000,157286400,419430400,419336192
1724514900000,157286400,419430400,419270656
1724514930000,157286400,419430400,419377152
1724514960000,157286400,419430400,419422208
1724514990000,157286400,419430400,419377152
1724515020000,157286400,419430400,258396160
1724515050000,157286400,419430400,254189568
1724515080000,157286400,419430400,153079808
1724515110000,157286400,419430400,54124544
1724515140000,157286400,419430400,54124544
1724515170000,157286400,419430400,54124544
1724515200000,157286400,419430400,54124544
1724515230000,157286400,419430400,54124544
1724515260000,157286400,419430400,54124544
1724515290000,157286400,419430400,54124544
1724515320000,157286400,419430400,54124544
1724515350000,157286400,419430400,54124544
1724515380000,157286400,419430400,54124544
1724515410000,157286400,419430400,54124544
1724515440000,157286400,419430400,54124544
1724515470000,157286400,419430400,54124544
1724515500000,157286400,419430400,54124544
1724515530000,157286400,419430400,54124544
1724515560000,157286400,419430400,54124544
1724515590000,157286400,419430400,54124544
1724515620000,157286400,419430400,54124544
1724515650000,157286400,419430400,54124544
1724515680000,157286400,419430400,133693440
1724515710000,157286400,419430400,301301760
1724515740000,157286400,419430400,419008512
1724515770000,157286400,419430400,158130176
1724515800000,157286400,419430400,130322432
1724515830000,157286400,419430400,219648000
1724515860000,157286400,419430400,219652096
1724515890000,157286400,419430400,219664384
1724515920000,157286400,419430400,219676672
1724515950000,157286400,419430400,220135424
1724515980000,157286400,419430400,220143616
1724516010000,157286400,419430400,220147712
1724516040000,157286400,419430400,220147712
1724516070000,157286400,419430400,219643904
1724516100000,157286400,419430400,219643904
1724516130000,157286400,419430400,219643904
1724516160000,157286400,419430400,219648000
1724516190000,157286400,419430400,219484160
1724516220000,157286400,419430400,220278784
1724516250000,157286400,419430400,220299264
1724516280000,157286400,419430400,220332032
1724516310000,157286400,419430400,220590080
1724516340000,157286400,419430400,220598272
1724516370000,157286400,419430400,220602368
1724516400000,157286400,419430400,220614656
1724516430000,157286400,419430400,220286976
1724516460000,157286400,419430400,220307456
1724516490000,157286400,419430400,220311552
1724516520000,157286400,419430400,220315648
1724516550000,157286400,419430400,220065792
1724516580000,157286400,419430400,220086272
1724516610000,157286400,419430400,220094464
1724516640000,157286400,419430400,220098560
1724516670000,157286400,419430400,220135424
1724516700000,157286400,419430400,220147712
1724516730000,157286400,419430400,220147712
1724516760000,157286400,419430400,220155904
1724516790000,157286400,419430400,220024832
1724516820000,157286400,419430400,220024832
1724516850000,157286400,419430400,220065792
1724516880000,157286400,419430400,220069888
1724516910000,157286400,419430400,220106752
1724516940000,157286400,419430400,220119040
1724516970000,157286400,419430400,220127232
1724517000000,157286400,419430400,220127232
1724517030000,157286400,419430400,220037120
1724517060000,157286400,419430400,220073984
1724517090000,157286400,419430400,220106752
1724517120000,157286400,419430400,220110848
1724517150000,157286400,419430400,220184576
1724517180000,157286400,419430400,220184576
1724517210000,157286400,419430400,220184576
1724517240000,157286400,419430400,220184576
1724517270000,157286400,419430400,220119040
1724517300000,157286400,419430400,220131328
1724517330000,157286400,419430400,220131328
1724517360000,157286400,419430400,220135424
1724517390000,157286400,419430400,220139520
1724517420000,157286400,419430400,220135424
1724517450000,157286400,419430400,220139520
1724517480000,157286400,419430400,220139520
1724517510000,157286400,419430400,220184576
1724517540000,157286400,419430400,220192768
1724517570000,157286400,419430400,220233728
1724517600000,157286400,419430400,220233728
1724517630000,157286400,419430400,220172288
1724517660000,157286400,419430400,220192768
1724517690000,157286400,419430400,220192768
1724517720000,157286400,419430400,220196864
1724517750000,157286400,419430400,220221440
1724517780000,157286400,419430400,220237824
1724517810000,157286400,419430400,220241920
1724517840000,157286400,419430400,220241920
1724517870000,157286400,419430400,220176384
1724517900000,157286400,419430400,220184576
1724517930000,157286400,419430400,220188672
1724517960000,157286400,419430400,220188672
1724517990000,157286400,419430400,220221440
1724518020000,157286400,419430400,220221440
1724518050000,157286400,419430400,220221440
1724518080000,157286400,419430400,220221440
1724518110000,157286400,419430400,220254208
1724518140000,157286400,419430400,220282880
1724518170000,157286400,419430400,220282880
1724518200000,157286400,419430400,220282880
1724518230000,157286400,419430400,220241920
1724518260000,157286400,419430400,220254208
1724518290000,157286400,419430400,220254208
1724518320000,157286400,419430400,220254208
1724518350000,157286400,419430400,220274688
1724518380000,157286400,419430400,220278784
1724518410000,157286400,419430400,220278784
1724518440000,157286400,419430400,220278784
1724518470000,157286400,419430400,220241920
1724518500000,157286400,419430400,220246016
1724518530000,157286400,419430400,220246016
1724518560000,157286400,419430400,220246016
1724518590000,157286400,419430400,220250112
1724518620000,157286400,419430400,220250112
1724518650000,157286400,419430400,220262400
1724518680000,157286400,419430400,220262400
1724518710000,157286400,419430400,220266496
1724518740000,157286400,419430400,220266496
1724518770000,157286400,419430400,220266496
1724518800000,157286400,419430400,220266496
1724518830000,157286400,419430400,220266496
1724518860000,157286400,419430400,220442624
1724518890000,157286400,419430400,220446720
1724518920000,157286400,419430400,220459008
1724518950000,157286400,419430400,220516352
1724518980000,157286400,419430400,220520448
1724519010000,157286400,419430400,220524544
1724519040000,157286400,419430400,220524544
1724519070000,157286400,419430400,220368896
1724519100000,157286400,419430400,220377088
1724519130000,157286400,419430400,220377088
1724519160000,157286400,419430400,220372992
1724519190000,157286400,419430400,220266496
1724519220000,157286400,419430400,220274688
1724519250000,157286400,419430400,220549120
1724519280000,157286400,419430400,220549120
1724519310000,157286400,419430400,220602368
1724519340000,157286400,419430400,220602368
1724519370000,157286400,419430400,220606464
1724519400000,157286400,419430400,220606464
1724519430000,157286400,419430400,220438528
1724519460000,157286400,419430400,220459008
1724519490000,157286400,419430400,220463104
1724519520000,157286400,419430400,220471296
1724519550000,157286400,419430400,220282880
1724519580000,157286400,419430400,220286976
1724519610000,157286400,419430400,220291072
1724519640000,157286400,419430400,220291072
1724519670000,157286400,419430400,220311552
1724519700000,157286400,419430400,220315648
1724519730000,157286400,419430400,220319744
1724519760000,157286400,419430400,220323840
1724519790000,157286400,419430400,220278784
1724519820000,157286400,419430400,220282880
1724519850000,157286400,419430400,220717056
1724519880000,157286400,419430400,213336064
1724519910000,157286400,419430400,210989056
1724519940000,157286400,419430400,204234752
1724519970000,157286400,419430400,189706240
1724520000000,157286400,419430400,180064256
1724520030000,157286400,419430400,170532864
1724520060000,157286400,419430400,169910272
1724520090000,157286400,419430400,162775040
1724520120000,157286400,419430400,162877440
1724520150000,157286400,419430400,162930688
1724520180000,157286400,419430400,162447360
1724520210000,157286400,419430400,161214464
1724520240000,157286400,419430400,161222656
1724520270000,157286400,419430400,158388224
1724520300000,157286400,419430400,157683712
1724520330000,157286400,419430400,155934720
1724520360000,157286400,419430400,155938816
1724520390000,157286400,419430400,155516928
1724520420000,157286400,419430400,155516928
1724520450000,157286400,419430400,155521024
1724520480000,157286400,419430400,155521024
1724520510000,157286400,419430400,155525120
1724520540000,157286400,419430400,155533312
1724520570000,157286400,419430400,155533312
1724520600000,157286400,419430400,155533312
1724520630000,157286400,419430400,155574272
1724520660000,157286400,419430400,155574272
1724520690000,157286400,419430400,155578368
1724520720000,157286400,419430400,155578368
1724520750000,157286400,419430400,155779072
1724520780000,157286400,419430400,155652096
1724520810000,157286400,419430400,155340800
1724520840000,157286400,419430400,155340800
1724520870000,157286400,419430400,155217920
1724520900000,157286400,419430400,155222016
1724520930000,157286400,419430400,155222016
1724520960000,157286400,419430400,155226112
1724520990000,157286400,419430400,155230208
1724521020000,157286400,419430400,155041792
1724521050000,157286400,419430400,155041792
1724521080000,157286400,419430400,155041792
1724521110000,157286400,419430400,155037696
1724521140000,157286400,419430400,155037696
1724521170000,157286400,419430400,155037696
1724521200000,157286400,419430400,155037696
1724521230000,157286400,419430400,155037696
1724521260000,157286400,419430400,155037696
1724521290000,157286400,419430400,155037696
1724521320000,157286400,419430400,155037696
1724521350000,157286400,419430400,155037696
1724521380000,157286400,419430400,155037696
1724521410000,157286400,419430400,155037696
1724521440000,157286400,419430400,155037696
1724521470000,157286400,419430400,155037696
1724521500000,157286400,419430400,155037696
1724521530000,157286400,419430400,155054080
1724521560000,157286400,419430400,155058176
1724521590000,157286400,419430400,155058176
1724521620000,157286400,419430400,155058176
1724521650000,157286400,419430400,155058176
1724521680000,157286400,419430400,155066368
1724521710000,157286400,419430400,155086848
1724521740000,157286400,419430400,155086848
1724521770000,157286400,419430400,155090944
1724521800000,157286400,419430400,155090944
1724521830000,157286400,419430400,154996736
1724521860000,157286400,419430400,155000832
1724521890000,157286400,419430400,155004928
1724521920000,157286400,419430400,155004928
1724521950000,157286400,419430400,155021312
1724521980000,157286400,419430400,155025408
1724522010000,157286400,419430400,155033600
1724522040000,157286400,419430400,155033600
1724522070000,157286400,419430400,155037696
1724522100000,157286400,419430400,155037696
1724522130000,157286400,419430400,155037696
1724522160000,157286400,419430400,155037696
1724522190000,157286400,419430400,155037696
1724522220000,157286400,419430400,155070464
1724522250000,157286400,419430400,155070464
1724522280000,157286400,419430400,155070464
1724522310000,157286400,419430400,155070464
1724522340000,157286400,419430400,155095040
1724522370000,157286400,419430400,155095040
1724522400000,157286400,419430400,155095040
1724522430000,157286400,419430400,155099136
1724522460000,157286400,419430400,155103232
1724522490000,157286400,419430400,155103232
1724522520000,157286400,419430400,155103232
1724522550000,157286400,419430400,155107328
1724522580000,157286400,419430400,155000832
1724522610000,157286400,419430400,155000832
1724522640000,157286400,419430400,155000832
1724522670000,157286400,419430400,155000832
1724522700000,157286400,419430400,155029504
1724522730000,157286400,419430400,155029504
1724522760000,157286400,419430400,155029504
1724522790000,157286400,419430400,155062272
1724522820000,157286400,419430400,155062272
1724522850000,157286400,419430400,155062272
1724522880000,157286400,419430400,155066368
1724522910000,157286400,419430400,155074560
1724522940000,157286400,419430400,155078656
1724522970000,157286400,419430400,154714112
1724523000000,157286400,419430400,154714112
1724523030000,157286400,419430400,154607616
1724523060000,157286400,419430400,154607616
1724523090000,157286400,419430400,154607616
1724523120000,157286400,419430400,154607616
1724523150000,157286400,419430400,153759744
1724523180000,157286400,419430400,153292800
1724523210000,157286400,419430400,153292800
1724523240000,157286400,419430400,153292800
1724523270000,157286400,419430400,153292800
1724523300000,157286400,419430400,153292800
1724523330000,157286400,419430400,153292800
1724523360000,157286400,419430400,153292800
1724523390000,157286400,419430400,153292800
1724523420000,157286400,419430400,153292800
1724523450000,157286400,419430400,153300992
1724523480000,157286400,419430400,153300992
1724523510000,157286400,419430400,153300992
1724523540000,157286400,419430400,153300992
1724523570000,157286400,419430400,153300992
1724523600000,157286400,419430400,153149440
1724523630000,157286400,419430400,152666112
1724523660000,157286400,419430400,152670208
1724523690000,157286400,419430400,152670208
1724523720000,157286400,419430400,152670208
1724523750000,157286400,419430400,152698880
1724523780000,157286400,419430400,152698880
1724523810000,157286400,419430400,152698880
1724523840000,157286400,419430400,152698880
1724523870000,157286400,419430400,152702976
1724523900000,157286400,419430400,152702976
1724523930000,157286400,419430400,152707072
1724523960000,157286400,419430400,152707072
1724523990000,157286400,419430400,152739840
1724524020000,157286400,419430400,152739840
1724524050000,157286400,419430400,152739840
1724524080000,157286400,419430400,152739840
1724524110000,157286400,419430400,152739840
1724524140000,157286400,419430400,152739840
1724524170000,157286400,419430400,152739840
1724524200000,157286400,419430400,152739840
1724524230000,157286400,419430400,152678400
1724524260000,157286400,419430400,152678400
1724524290000,157286400,419430400,152678400
1724524320000,157286400,419430400,152608768
