time,namespace,pod,container,cpu-limit,cpu-request,cpu-usage,memory-limit,memory-request,memory-usage,receive-packets,receive-packets-dropped,total-packets,total-packets-dropped,transmit-packets,transmit-packets-dropped
1724963722.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24990553298877133,536870912,104857600,456015872,0.5411689248777358,0,1.0823378497554716,0,0.5411689248777358,0
1724963736.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.2500779407021934,536870912,104857600,509681664,0.5572582892170521,0,1.1145165784341042,0,0.5572582892170521,0
1724963750.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.25015925334128025,536870912,104857600,475213824,0.5544301098198102,0,1.1088602196396204,0,0.5544301098198102,0
1724963764.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.25004621369761854,536870912,104857600,466460672,0.5416179210537718,0,1.0832358421075436,0,0.5416179210537718,0
1724963778.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.2502846879487237,536870912,104857600,466460672,0.6398234969663541,0,1.1913954771097628,0,0.5515719801434087,0
1724963792.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.2499255789783154,536870912,104857600,240533504,0.6310475389145982,0,1.1779554059739166,0,0.5469078670593185,0
1724963806.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24970620291542228,536870912,104857600,208506880,0.642392784644243,0,1.182002723745407,0,0.5396099391011641,0
1724963820.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24952676339686888,536870912,104857600,208506880,0.5540833534088172,0,1.1081667068176344,0,0.5540833534088172,0
1724963834.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.2497285909429072,536870912,104857600,249036800,0.4474623250086995,0,0.894924650017399,0,0.4474623250086995,0
1724963848.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24956740034834518,536870912,104857600,277524480,0.574849349825563,0,1.149698699651126,0,0.574849349825563,0
1724963862.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24955931423097674,536870912,104857600,376553472,0.5371823617339313,0,1.0743647234678626,0,0.5371823617339313,0
1724963876.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.20000761135018313,536870912,104857600,193789952,0.32499999999999996,0,0.6499999999999999,0,0.32499999999999996,0
1724963890.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.13046241783893106,536870912,104857600,193789952,0.8168569572078345,0,1.4294996751137103,0,0.6126427179058759,0
1724963904.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.028175160725000124,536870912,104857600,193789952,0.6693689338440371,0,1.1342084712357294,0,0.46483953739169237,0
1724963918.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.024443282560131976,536870912,104857600,193789952,0.606991653601283,0,0.9985991720537237,0,0.3916075184524407,0
