"time","cpu_request","cpu_limit","cpu_usage"
1724514000000,0.1,0.25,0.00042990428696200754
1724514030000,0.1,0.25,0.0011067334615788536
1724514060000,0.1,0.25,0.001357760119323152
1724514090000,0.1,0.25,0.0012797847293052162
1724514120000,0.1,0.25,0.0012308298072924002
1724514150000,0.1,0.25,0.001291495997338945
1724514180000,0.1,0.25,0.0010358210972027022
1724514210000,0.1,0.25,0.0012972793857445551
1724514240000,0.1,0.25,0.0011461842240451693
1724514270000,0.1,0.25,0.0013104455271225942
1724514300000,0.1,0.25,0.0013386157233442884
1724514330000,0.1,0.25,0.0013808934104704961
1724514360000,0.1,0.25,0.0013732498891745764
1724514390000,0.1,0.25,0.0012965121451065616
1724514420000,0.1,0.25,0.0013054987477950318
1724514450000,0.1,0.25,0.0013705227816875917
1724514480000,0.1,0.25,0.0013577035776250195
1724514510000,0.1,0.25,0.0010488195465800276
1724514540000,0.1,0.25,0.001130748074672999
1724514570000,0.1,0.25,0.0013629804959453505
1724514600000,0.1,0.25,0.0013300014214772352
1724514630000,0.1,0.25,0.001310277933086852
1724514660000,0.1,0.25,0.0012740875398106516
1724514690000,0.1,0.25,0.0012632279811840123
1724514720000,0.1,0.25,0.001281569068872546
1724514750000,0.1,0.25,0.0012618678022781919
1724514780000,0.1,0.25,0.0010893226071936294
1724514810000,0.1,0.25,0.0012438209930313523
1724514840000,0.1,0.25,0.0012831258361402315
1724514870000,0.1,0.25,0.0013017977813962972
1724514900000,0.1,0.25,0.0012593986165256204
1724514930000,0.1,0.25,0.0012662318777383295
1724514960000,0.1,0.25,0.0012909561230953805
1724514990000,0.1,0.25,0.001266006470670994
1724515020000,0.1,0.25,0.0012782912912912983
1724515050000,0.1,0.25,0.001269854421868497
1724515080000,0.1,0.25,0.0013016645630622306
1724515110000,0.1,0.25,0.001282109555316187
1724515140000,0.1,0.25,0.0012803711531924312
1724515170000,0.1,0.25,0.0010880544098696044
1724515200000,0.1,0.25,0.001256552990630061
1724515230000,0.1,0.25,0.0012114259930039693
1724515260000,0.1,0.25,0.0012067705217758177
1724515290000,0.1,0.25,0.001274711546676714
1724515320000,0.1,0.25,0.0012708087527908297
1724515350000,0.1,0.25,0.0012910830401125976
1724515380000,0.1,0.25,0.0013092532479541366
1724515410000,0.1,0.25,0.0013228353885933167
1724515440000,0.1,0.25,0.0013115279487069232
1724515470000,0.1,0.25,0.0012972934048696143
1724515500000,0.1,0.25,0.001316069413216946
1724515530000,0.1,0.25,0.001266498184100785
1724515560000,0.1,0.25,0.0012940140837723506
1724515590000,0.1,0.25,0.0012719313143219903
1724515620000,0.1,0.25,0.0012919581461910987
1724515650000,0.1,0.25,0.00130311217685386
1724515680000,0.1,0.25,0.0010893827043531442
1724515710000,0.1,0.25,0.0010468753312248807
1724515740000,0.1,0.25,0.0012697383249846205
1724515770000,0.1,0.25,0.0012663265482813133
1724515800000,0.1,0.25,0.001276039374703505
1724515830000,0.1,0.25,0.0012887283710139967
1724515860000,0.1,0.25,0.0012077682293762614
1724515890000,0.1,0.25,0.0012169434295816127
1724515920000,0.1,0.25,0.001266737742437142
1724515950000,0.1,0.25,0.001234336393183427
1724515980000,0.1,0.25,0.001227485149985152
1724516010000,0.1,0.25,0.0012347247632332316
1724516040000,0.1,0.25,0.0012357965036774267
1724516070000,0.1,0.25,0.0012349908115915128
1724516100000,0.1,0.25,0.0012501620567091757
1724516130000,0.1,0.25,0.0012013478461361197
1724516160000,0.1,0.25,0.0012137526888715384
1724516190000,0.1,0.25,0.001202930419292947
1724516220000,0.1,0.25,0.0012271825823707517
1724516250000,0.1,0.25,0.0012329429463171018
1724516280000,0.1,0.25,0.0012341089982315597
1724516310000,0.1,0.25,0.001246224148061104
1724516340000,0.1,0.25,0.0012541274327297297
1724516370000,0.1,0.25,0.0012415071181392067
1724516400000,0.1,0.25,0.001250736071492247
1724516430000,0.1,0.25,0.0012567236268334594
1724516460000,0.1,0.25,0.0012531551409820153
1724516490000,0.1,0.25,0.0012684909090909123
1724516520000,0.1,0.25,0.0012544523467062133
1724516550000,0.1,0.25,0.0012498988649940288
1724516580000,0.1,0.25,0.0012424866641746856
1724516610000,0.1,0.25,0.0010678728897365655
1724516640000,0.1,0.25,0.001251732830004881
1724516670000,0.1,0.25,0.0010522374128008043
1724516700000,0.1,0.25,0.0010741359900480203
1724516730000,0.1,0.25,0.0012795101786926145
1724516760000,0.1,0.25,0.0012826768168233756
1724516790000,0.1,0.25,0.0012866147529986363
1724516820000,0.1,0.25,0.0012813454881634265
1724516850000,0.1,0.25,0.001277550710479577
1724516880000,0.1,0.25,0.001279547488970243
1724516910000,0.1,0.25,0.0012660166501332413
1724516940000,0.1,0.25,0.0012703349845370577
1724516970000,0.1,0.25,0.0012742646600248252
1724517000000,0.1,0.25,0.0012651787148158702
1724517030000,0.1,0.25,0.0012742301591371456
1724517060000,0.1,0.25,0.001250480097618453
1724517090000,0.1,0.25,0.0011078753475736818
1724517120000,0.1,0.25,0.001285650753891051
1724517150000,0.1,0.25,0.0010585658530197516
1724517180000,0.1,0.25,0.0012453275023863854
1724517210000,0.1,0.25,0.0012844065997013134
1724517240000,0.1,0.25,0.0012655198512906806
1724517270000,0.1,0.25,0.0012770063716244081
1724517300000,0.1,0.25,0.001268653907290454
1724517330000,0.1,0.25,0.0012679011256950096
1724517360000,0.1,0.25,0.001284702828893159
1724517390000,0.1,0.25,0.0012534215348330871
1724517420000,0.1,0.25,0.0012429171425918171
1724517450000,0.1,0.25,0.00125603217224109
1724517480000,0.1,0.25,0.0012898773734775753
1724517510000,0.1,0.25,0.0013142866075683869
1724517540000,0.1,0.25,0.0012944976137739008
1724517570000,0.1,0.25,0.0012483133012166218
1724517600000,0.1,0.25,0.001253504840981997
1724517630000,0.1,0.25,0.0012649523677957686
1724517660000,0.1,0.25,0.0012645888726134113
1724517690000,0.1,0.25,0.0012768752673320322
1724517720000,0.1,0.25,0.0012854608611392096
1724517750000,0.1,0.25,0.001248567215554914
1724517780000,0.1,0.25,0.0012444156904620025
1724517810000,0.1,0.25,0.001267801276797659
1724517840000,0.1,0.25,0.001265728998173754
1724517870000,0.1,0.25,0.001253662203337121
1724517900000,0.1,0.25,0.0012454715277925165
1724517930000,0.1,0.25,0.0012526337590271445
1724517960000,0.1,0.25,0.0012662757104194742
1724517990000,0.1,0.25,0.0012621368685599421
1724518020000,0.1,0.25,0.0012450507114454131
1724518050000,0.1,0.25,0.0012537917419295156
1724518080000,0.1,0.25,0.0010392959162475214
1724518110000,0.1,0.25,0.001263111479791704
1724518140000,0.1,0.25,0.0012797167769091975
1724518170000,0.1,0.25,0.0012823202589743177
1724518200000,0.1,0.25,0.001282949950763173
1724518230000,0.1,0.25,0.0012838344889752032
1724518260000,0.1,0.25,0.0012892882114644542
1724518290000,0.1,0.25,0.001278252316053846
1724518320000,0.1,0.25,0.00128198640021523
1724518350000,0.1,0.25,0.0012986804497984218
1724518380000,0.1,0.25,0.0012885475355969202
1724518410000,0.1,0.25,0.0013062032558466695
1724518440000,0.1,0.25,0.0013237461781427941
1724518470000,0.1,0.25,0.0011471685807782925
1724518500000,0.1,0.25,0.0013061199273590681
