time,namespace,pod,container,cpu-limit,cpu-request,cpu-usage,memory-limit,memory-request,memory-usage,receive-packets,receive-packets-dropped,total-packets,total-packets-dropped,transmit-packets,transmit-packets-dropped,label
1724969986.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.24,536870912,104857600,112717824,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,7.16931900531e-05,536870912,104857600,112717824,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,7.52257489842e-05,536870912,104857600,112717824,0.0,0,0.0,0,0.0,0,0
1724970028.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.0,536870912,104857600,112717824,0.0,0,0.0,0,0.0,0,0
1724970042.0,free5gc,free5gc-amf-76bb6fcf5b-kp2lt,amf1,0.25,0.1,0.0,536870912,104857600,112717824,0.1335916104468639,0,0.1335916104468639,0,0.0,0,0
1724969986.0,free5gc,free5gc-amf2-76bd6bbdd7-hn6wv,amf2,0.25,0.1,0.0,536870912,104857600,116715520,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-amf2-76bd6bbdd7-hn6wv,amf2,0.25,0.1,8.43055806599e-05,536870912,104857600,116715520,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-amf2-76bd6bbdd7-hn6wv,amf2,0.25,0.1,0.0001243788333335,536870912,104857600,116715520,0.0,0,0.0,0,0.0,0,0
1724970028.0,free5gc,free5gc-amf2-76bd6bbdd7-hn6wv,amf2,0.25,0.1,0.0001084541491064,536870912,104857600,116715520,0.0826907572406094,0,0.0826907572406094,0,0.0,0,0
1724970042.0,free5gc,free5gc-amf2-76bd6bbdd7-hn6wv,amf2,0.25,0.1,0.0,536870912,104857600,116715520,0.1227521021297489,0,0.1227521021297489,0,0.0,0,0
1724969986.0,free5gc,free5gc-ausf-7dd7d688fb-c8npk,ausf,0.25,0.1,0.0,314572800,104857600,29020160,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-ausf-7dd7d688fb-c8npk,ausf,0.25,0.1,0.0,314572800,104857600,29020160,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-ausf-7dd7d688fb-c8npk,ausf,0.25,0.1,4.4339807075e-06,314572800,104857600,29020160,0.0,0,0.0,0,0.0,0,0
1724970028.0,free5gc,free5gc-ausf-7dd7d688fb-c8npk,ausf,0.25,0.1,3.1646287729e-06,314572800,104857600,29020160,0.104808070221407,0,0.104808070221407,0,0.0,0,0
1724970042.0,free5gc,free5gc-ausf-7dd7d688fb-c8npk,ausf,0.25,0.1,0.0,314572800,104857600,29020160,0.1140586134712473,0,0.1140586134712473,0,0.0,0,0
1724969986.0,free5gc,mongodb-0,mongodb,0.3,0.1,0.0427407426404005,314572800,262144000,194576384,0.2670583522499666,0,0.623136155249922,0,0.0,0,0
1724970000.0,free5gc,mongodb-0,mongodb,0.3,0.1,0.0414769402621772,314572800,262144000,194576384,0.2888086642599278,0,0.6979542719614922,0,0.0,0,0
1724970014.0,free5gc,mongodb-0,mongodb,0.3,0.1,0.039844379664861,314572800,262144000,194580480,0.3377237419790612,0,0.6942099140680702,0,0.0,0,0
1724970028.0,free5gc,mongodb-0,mongodb,0.3,0.1,0.0415511528630665,314572800,262144000,194588672,0.3466520707900019,0,0.7297938332421092,0,0.0,0,0
1724970042.0,free5gc,mongodb-0,mongodb,0.3,0.1,0.0422691085476793,314572800,262144000,194588672,0.3229421933473908,0,0.6648809863034517,0,0.0,0,0
1724969986.0,free5gc,free5gc-nrf-945897f4c-92wlm,nrf,0.25,0.1,0.0005403637022317,419430400,157286400,214036480,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-nrf-945897f4c-92wlm,nrf,0.25,0.1,0.0004365887300653,419430400,157286400,214036480,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-nrf-945897f4c-92wlm,nrf,0.25,0.1,0.0004733133789962,419430400,157286400,214036480,0.0,0,0.0,0,0.0,0,0
1724970028.0,free5gc,free5gc-nrf-945897f4c-92wlm,nrf,0.25,0.1,0.0004395890486731,419430400,157286400,214040576,0.0857816856101222,0,0.0857816856101222,0,0.0,0,0
1724970042.0,free5gc,free5gc-nrf-945897f4c-92wlm,nrf,0.25,0.1,0.0004746473075774,419430400,157286400,214040576,0.1061317625832471,0,0.1061317625832471,0,0.0,0,0
1724969986.0,free5gc,free5gc-nssf-669c669b7b-2bq2j,nssf,0.25,0.1,0.2495684665923057,262144000,209715200,103227392,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-nssf-669c669b7b-2bq2j,nssf,0.25,0.1,0.2137860352786972,262144000,209715200,35819520,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-nssf-669c669b7b-2bq2j,nssf,0.25,0.1,0.1405450857256426,262144000,209715200,35819520,0.0728371906695558,0,0.0728371906695558,0,0.0,0,0
1724970028.0,free5gc,free5gc-nssf-669c669b7b-2bq2j,nssf,0.25,0.1,0.0291926064955993,262144000,209715200,35819520,0.0955201069825198,0,0.0955201069825198,0,0.0,0,0
1724970042.0,free5gc,free5gc-nssf-669c669b7b-2bq2j,nssf,0.25,0.1,0.0,262144000,209715200,35819520,0.1165365342034727,0,0.1165365342034727,0,0.0,0,0
1724969986.0,free5gc,free5gc-nwdaf-anlf-7f89bb7bbf-tpjcw,nwdaf-anlf,1.0,0.1,0.0002397692958943,1610612736,1048576000,1589731328,0.0,0,0.0,0,0.0,0,0
1724970000.0,free5gc,free5gc-nwdaf-anlf-7f89bb7bbf-tpjcw,nwdaf-anlf,1.0,0.1,0.0002374395835578,1610612736,1048576000,1589731328,0.0,0,0.0,0,0.0,0,0
1724970014.0,free5gc,free5gc-nwdaf-anlf-7f89bb7bbf-tpjcw,nwdaf-anlf,1.0,0.1,0.0002406926020085,1610612736,1048576000,1589731328,0.0860159559598305,0,0.0860159559598305,0,0.0,0,0
